Member ID,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name
19740,186973,36.3618292,127.3514163,연취
19740,225334,36.3580318,127.3511759,태평소국밥
19740,195370,36.32761765,127.42700958,쿠우쿠우
19740,197723,36.3986911,127.40341090000001,한방삼계탕
19740,272218,36.37420766,127.32128933,타이스토리
54607,216644,36.32349396,127.37865448,송원한우마을
54607,203040,36.37519221,127.3184227,스시다
54607,36850,36.3620242,127.3769584,바이젠하우스
54607,191419,36.3545207,127.37727340000002,케렌시아
54607,198418,36.3515851,127.3874213,유달리
199425,186973,36.3618292,127.3514163,연취
199425,188347,36.3630257,127.35030859999999,피자뻬르
199425,189555,36.3504412,127.37839509999999,리얼케익
199425,225334,36.3580318,127.3511759,태평소국밥
199425,188347,36.3630257,127.35030859999999,피자뻬르
530546,36747,36.3226822,127.37354409999999,이모네감자탕
530546,37642,36.362887,127.35283670000001,산타클로스
530546,203189,36.3630985,127.357238,이앨리스
530546,189644,36.35146713,127.42586517,오늘은닭
530546,193886,36.363043299999994,127.35821029999998,소소화
593070,191594,36.3547432,127.34235670000001,비단강숯불장어
593070,224729,36.3522612,127.37327579999999,컨트란스
593070,203138,36.42368698,127.39081573,퀸즈펍
593070,275712,36.36085091,127.42855715,스물넷카페
593070,37514,36.362317700000006,127.3507747,맛존
648211,188347,36.3630257,127.35030859999999,피자뻬르
648211,188347,36.3630257,127.35030859999999,피자뻬르
648211,195370,36.32761765,127.42700958,쿠우쿠우
648211,197723,36.3986911,127.40341090000001,한방삼계탕
648211,272218,36.37420766,127.32128933,타이스토리
694114,203143,36.3528717,127.3782242,코다차야
694114,203138,36.42368698,127.39081573,퀸즈펍
694114,189641,36.3514666,127.42607120000001,자연을담은돈까스
694114,203686,36.3267667,127.42755819999999,팬텀팬스테이크
694114,283327,36.34835579999999,127.37515249999998,카페온기
722980,188347,36.3630257,127.35030859999999,피자뻬르
722980,186973,36.3618292,127.3514163,연취
722980,272218,36.37420766,127.32128933,타이스토리
722980,188347,36.3630257,127.35030859999999,피자뻬르
722980,189555,36.3504412,127.37839509999999,리얼케익
