Member ID,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name
48495,35606,36.3592648,127.4265946,오문창순대국밥
48495,198428,36.3518886,127.3803571,텀즈업브로
48495,282381,36.351372399999995,127.3775362,르브레드랩
48495,270570,36.35028087,127.37871976,도군함박
48495,243742,36.352042700000005,127.3781081,모쿠테판야끼
55110,16906,36.3285892,127.42359099999999,광천식당
55110,36784,36.3541335,127.37547350000001,로보쿡
55110,194221,36.355577600000004,127.38078229999999,매드포갈릭
55110,188235,36.3518803,127.37572990000001,모모가든
55110,186452,36.3542615,127.3777595,스바라시라멘
71218,188235,36.3518803,127.37572990000001,모모가든
71218,37139,36.350725399999995,127.38051570000002,쇼 1186
71218,36655,36.3547365,127.3799811,인디
71218,37411,36.3564159,127.33818659999999,일당감자탕
71218,219490,36.3704046,127.3391684,다래짬뽕
146244,35606,36.3592648,127.4265946,오문창순대국밥
146244,198428,36.3518886,127.3803571,텀즈업브로
146244,282381,36.351372399999995,127.3775362,르브레드랩
146244,270570,36.35028087,127.37871976,도군함박
146244,243742,36.352042700000005,127.3781081,모쿠테판야끼
161108,186015,36.3532937,127.3879396,칼국수를만드는사람들
161108,232037,36.3626689,127.3516706,주전자
161108,224729,36.3522612,127.37327579999999,컨트란스
161108,16858,36.326147600000006,127.42656880000001,사리원
161108,225294,36.3626669,127.3527928,사적인포차
478541,260545,36.3623326,127.34871240000001,라드커피
478541,329119,36.4234909,127.3935213,미사리밀빛초계국수 
478541,188064,36.3669343,127.3805571,베스타
478541,281395,36.3405631,127.3913898,이봌커피
478541,37439,36.3628723,127.3578975,아소부
480690,194227,36.397746500000004,127.40247749999999,알근이떡볶이
480690,37724,36.3614446,127.35030330000001,닭섬
480690,186973,36.3618292,127.3514163,연취
480690,16873,36.3855403,127.37893700000001,가남지
480690,254333,36.35154620000001,127.37712020000001,동경수공업
494834,282381,36.351372399999995,127.3775362,르브레드랩
494834,192362,36.36320886,127.35714872,어은스시
494834,198428,36.3518886,127.3803571,텀즈업브로
494834,270570,36.35028087,127.37871976,도군함박
494834,35606,36.3592648,127.4265946,오문창순대국밥
507356,194227,36.397746500000004,127.40247749999999,알근이떡볶이
507356,37724,36.3614446,127.35030330000001,닭섬
507356,186973,36.3618292,127.3514163,연취
507356,16873,36.3855403,127.37893700000001,가남지
507356,254333,36.35154620000001,127.37712020000001,동경수공업
553856,232397,36.3626835,127.3498288,빨봉분식
553856,223555,36.3619925,127.3478662,트레스미고
553856,244872,36.3466409,127.3796737,모던니혼
553856,37709,36.36228739,127.35427877,란스시
553856,37542,36.34440771,127.33950252,아카바의식탁
577319,37834,36.36299896,127.35623932,라라랄라
577319,281395,36.3405631,127.3913898,이봌커피
577319,329119,36.4234909,127.3935213,미사리밀빛초계국수 
577319,222620,36.352042700000005,127.3781081,구슬함박
577319,239183,36.3588278,127.3451364,달테이블
641116,260545,36.3623326,127.34871240000001,라드커피
641116,329119,36.4234909,127.3935213,미사리밀빛초계국수 
641116,188064,36.3669343,127.3805571,베스타
641116,281395,36.3405631,127.3913898,이봌커피
641116,37439,36.3628723,127.3578975,아소부
646748,232397,36.3626835,127.3498288,빨봉분식
646748,223555,36.3619925,127.3478662,트레스미고
646748,244872,36.3466409,127.3796737,모던니혼
646748,37709,36.36228739,127.35427877,란스시
646748,37542,36.34440771,127.33950252,아카바의식탁
708415,282381,36.351372399999995,127.3775362,르브레드랩
708415,192362,36.36320886,127.35714872,어은스시
708415,198428,36.3518886,127.3803571,텀즈업브로
708415,270570,36.35028087,127.37871976,도군함박
708415,35606,36.3592648,127.4265946,오문창순대국밥
