store_location	store_name	store_rating	user_id	user_rate	user_review	user_time
대전시 유성구 도룡동 4-30	씨카페	4.4	Gastronomy	맛있다	대전 롯데시티호텔에 위치한 뷔페 레스토랑. 18층에 위치하여 전망이 좋음. 점심이 35,000원임에도 불구하고 상당히 풍성한 메뉴구성을 보여줌. 그릴이 있는 주방을 가운데 배치하여 스테이크와 튀김등을 바로바로 요리해줌. 토시살 구이는 맛있었는데 좀 많이 구워졌음. 튀김도 잘 튀겨서 바삭함. 메뉴가 전체적으로 맛있지만 몇몇 메뉴는 별로임. 마파두부는 너무 밍밍함. 우동은 면발이 덜탱탱함. 디저트 메뉴도 흔한 뷔페의 그것보다는 풍부함. 티라미수도 떠먹을 수 있도록 준비해줌.	2015-11-04 10:08:19
대전시 유성구 도룡동 4-30	씨카페	4.4	쌤J	맛있다	조식으로 이용한 씨카페. 음식도 전망도 좋았어요~$e$18층에 위치해 있어서 갑천이 잘보이고 채광도 참 좋아요. 야채, 연어도 신선하고 한식과 양식류가 모두 잘구비돼있었어요!$e$만들어주시는 치즈 오믈렛이 아주 작고 별로일것같은데 맛있어서 놀랐고 빵류는 좀 아쉬웠던것같아요 $e$*아근데 조식이용이 10시 마감이라 넘나 새벽같이 나가야했어요ㅜㅜ	2017-04-10 17:06:14
대전시 유성구 도룡동 4-30	씨카페	4.4	백승연	맛있다	호텔 조식이라 비쌌다.. 그런데 맛있긴 했다.. $e$다 보이는 전망도 좋았고ㅋㅋㅋㅋㅋ!!  $e$미국식 한국식 아침이 다 있어서 좋았다ㅎ	2016-08-02 22:05:16
대전시 유성구 도룡동 4-30	씨카페	4.4	joooooonit	맛있다	.	2017-02-19 19:09:16
대전시 유성구 도룡동 393-16	코너스톤에이치	4.2	준영	맛있다	며칠간 미세먼지가 300을 달리다가 30으로 뚝 떨어지던 날! 날씨도 선선해서 기분좋게 테라스 있는 카페로 다녀왔어요ㅎㅎ 음료를 주문하면 조그마한 크림브륄레를 같이 주는게 너무 마음에 들어요 :)$e$ 그리고 직원분들이 정말정말 젠틀하신데 제가 너무 씐나가지구 카운터 가서 메뉴판 달라하고 주문도 카운터에서 하려하고ㅠㅠ 그냥 레스토랑처럼 앉아있으면 메뉴판 주시고 주문도 자리에서 받아주셔요...$e$$e$ 드립은 세가지 있는데 저는 플라워리&쥬시라고 적힌 약배전으로 골랐어요. 근데 생각보다 그렇게 플라워리 하진 않고 적당한 산미? 제가 엄청 쨍쨍한 산미랑 꽃다발 같은거 좋아해서 잘 못느낀걸 수도 있어요ㅠㅠ 그래도 충분히 맛있는 커피임에는 인정!! 그리고 크림브륄레는 위에 설탕을 넉넉하게 뿌리셨던건지 좀 두꺼운게 아쉬웠네요. 아래 크림은 굳굳~$e$$e$ 날씨 좋은 날 다녀오시면 정말 기분 좋아지실거예요!! 추천드려요!!! bb	2017-05-12 01:08:20
대전시 유성구 도룡동 393-16	코너스톤에이치	4.2	이지선	맛있다	집에서 가깝기도 하고 따뜻하고 아늑한 분위기에 자주 오게 되는 곳이에요.☺️가을에는 테라스에 앉기를 추천해요! 커피 주문시 함께 나오는 크렘브뤨레 는 겉은 달달하고 안은 부드러워서 이거 먹으려 오기도 한답니다.$e$생각난김에 오늘.저녁먹고 휘휘 다녀오렵니다~^^	2016-12-06 10:36:41
대전시 유성구 도룡동 393-16	코너스톤에이치	4.2	용	맛있다	이렇게 맛있는 차 처음 먹어봤다! 웨딩 임페리얼(7000)$e$달콤한 향이 듬뿍 나고 이름처럼 사랑스러운 맛이 남$e$다음엔 넘버 시리즈 먹어보고 싶다 다른 사람꺼 맛봤는데 아이스도 맛있음!$e$그리고 함께 주는 크림뷔릴레는 최고의 디저트ㅠㅠ 커스터드 푸딩 위에 얇고 바삭한 설탕층이 덮여있는데 둘의 조합이 정말 좋았다 차와 함께 먹기에 최고$e$내부는 생각보다 넓진 않은 편. 잔디가 깔린 야외가 예쁜데 가을에 가면 참 좋을 거 같다	2016-08-25 21:05:49
대전시 유성구 도룡동 393-16	코너스톤에이치	4.2	YooSuhyung	맛있다	대전에서 손에 꼽게 좋아하는 카페에요.$e$주택가에 있어서 조용하고, 노출 콘크리트 건물 1층 정원에 앉을 수 있어 더욱 분위기가 좋아요.$e$커피도 전문적으로 내려주고, 모든 커피 주문이 같이 나오는 크렘뷜레도 달달하니 기분 좋아요! :)	2017-04-14 14:21:14
대전시 유성구 도룡동 393-16	코너스톤에이치	4.2	sundaybus	맛있다	기본기에도 충실한데 심지어 크람브륄레도 최고. 그런데 분위기까지 깡패. 여기는 나만 가게 너무 여기저기 알리지 말도록.	2016-03-02 22:17:27
대전시 유성구 도룡동 395-1	가남지	3.7	준영	맛있다	옛날부터 대전에 이런 쌀국수집이 있었다니 충격이에요! 사실 처음 외관 봤을 때는 먼지 쌓인 70년대 호프집스러운 모습에 진짜 들어가야하나 고민했는데... 안에는 되게 깔끔하더라구요ㅎㅎ 심지어 아주머니, 사장님도 너무 친절하셔요. 그리고 2시반이라는 애매한 시간에 갔는데도 사람이 꽤 많아서 신뢰가 갔네요ㅎㅎ$e$$e$ 쌀국수 메뉴가 정말 많은데 양지 쌀국수 말고 다른건 하나도 모르겠어서 그냥 다른 리뷰에 있던 로자쌀국수를 먹었어요. 로자 쌀국수는 장조림 같은데 토핑으로 올라간 쌀국수라고 하셨어요.$e$ 일단 나오자마자 엄청난 양에 다 먹을 수 있을까 걱정이 돼요.. 그리고 놀랍게도 이 장조림의 대부분은 표고와 메추리알..!! 돼지고기는 많이 없어요ㅠㅠ 의외로 건강식인듯... 장조림이 없는 쪽으로 국물을 먼저 떠서 먹었는데 입에 대지도 않던 술이 해장되네요!!! 정말 진하고 맛있어요... 이런 국물 베이스면 무슨 토핑을 얹어도 맛날 것 같아요. 약간 단 편이긴한데ㅎㅎ$e$$e$ 이 맛있는 국물이 조금 아까웠던건 제가 주문한 저 장조림 때문인데 섞으니까 장조림의 단고 짠맛이 너무 강하게 느껴지더라구요ㅠㅠ 다음엔 일반이나 똠양 쌀국수를 먹어야겠어요.. 그리고 요새 쌀국수는 에머이만 먹다가 오니까 건면의 퍼석함이 많이 아쉬웠어요. 그치만 국물이 맛있으니 괜춘!$e$$e$ 디저트로는 셀프바에 주스가 있는데 새콤하고 달달걸쭉한게 참 매력있어요! 바나나말고 뭐 들어가는지 궁금해서 여쭤봤는데 바나나 들어간다고..ㅎ그냥 그렇군요!하고 나왔어요ㅋㅋㅋ 이렇게 맛있는 주스로 마무리까지 해주니까 더 좋은 것 같아요. 가격대는 좀 있지만 재방문의사는 짱짱하게 있습니다!!	2017-05-11 20:47:33
