,Member ID,Restaurant ID,Restaurant Latitude,Restaurant Longitude,Restaurant Name,Restaurant Address
0,47875,225334,36.3580318,127.3511759,태평소국밥,대전시 유성구 봉명동 676-3
1,47875,280822,36.3579073,127.3472743,르뺑 99-1,대전시 유성구 봉명동 650
2,47875,261274,36.3590826,127.3428726,세븐팩토리모먼트,대전시 유성구 봉명동 604-2
3,47875,37370,36.3619806,127.3529817,누오보나폴리,대전시 유성구 궁동 406-10
4,47875,189257,36.3618383,127.3523632,순정닭발,대전시 유성구 궁동 406-15
0,3187,284411,36.3505544,127.3769908,미즈컨테이너,대전시 서구 둔산동 1050
1,3187,36728,36.3694773,127.3814472,만년애한우,대전시 서구 만년동 306
2,3187,165305,36.36285782,127.34916687,상하이양꼬치,대전시 유성구 궁동 397-8
3,3187,193024,36.3275433,127.4268212,성심당케익부띠끄,대전시 중구 은행동 153
4,3187,188235,36.3518803,127.3757299,모모가든,대전시 서구 둔산동 1081
5,17711,16860,36.3654208,127.3799885,스시호산,대전시 서구 만년동 282
6,17711,37119,36.3544901,127.3806039,보끄미,대전시 서구 둔산동 1352
7,17711,36658,36.3657745,127.3819936,일등석갈비,대전시 서구 만년동 358
8,17711,190459,36.37235954,127.34042181,카페희스밀,대전시 유성구 죽동 728-2
9,17711,35607,36.35564804,127.42814636,레시피제과,대전시 대덕구 중리동 245-21
10,17916,165408,36.3848226,127.3770553,코너스톤에이치,대전시 유성구 도룡동 393-16
11,17916,37004,36.3507216,127.3816996,모두자리,대전시 서구 둔산동 1181
12,17916,16878,36.3628948,127.3512433,더초콜릿,대전시 유성구 궁동 403-2
13,17916,236941,36.34727958,127.34114587,기린더매운갈비찜,대전시 유성구 봉명동 1031-7
14,17916,16882,36.36561678,127.33602902,바질리코,대전시 유성구 장대동 307-13
15,24189,219556,36.34093950000001,127.38927920000002,성심당,대전시 서구 괴정동 423-1
16,24189,37716,36.347361600000006,127.2919388,다미원,대전시 유성구 덕명동 181-1
17,24189,36658,36.3657745,127.3819936,일등석갈비,대전시 서구 만년동 358
18,24189,165408,36.3848226,127.3770553,코너스톤에이치,대전시 유성구 도룡동 393-16
19,24189,37045,36.3494126,127.3768032,스시히로바,대전시 서구 둔산동 1110
20,24265,16886,36.4160343,127.3841797,산골묵집,대전시 유성구 관평동 554
21,24265,36658,36.3657745,127.3819936,일등석갈비,대전시 서구 만년동 358
22,24265,37358,36.35575481,127.33713639,제이부페,대전시 유성구 봉명동 469-46
23,24265,219556,36.34093950000001,127.38927920000002,성심당,대전시 서구 괴정동 423-1
24,24265,37616,36.42486191,127.3894577,봉추찜닭,대전시 유성구 관평동 936
25,26788,35607,36.35564804,127.42814636,레시피제과,대전시 대덕구 중리동 245-21
26,26788,37004,36.3507216,127.3816996,모두자리,대전시 서구 둔산동 1181
27,26788,37716,36.347361600000006,127.2919388,다미원,대전시 유성구 덕명동 181-1
28,26788,194221,36.3555776,127.3807823,매드포갈릭,대전시 서구 둔산동 1346
29,26788,236941,36.34727958,127.34114587,기린더매운갈비찜,대전시 유성구 봉명동 1031-7
30,47328,16854,36.34996760000001,127.388276,대선칼국수,대전시 서구 둔산동 1440
31,47328,186044,36.3519295,127.3890243,빨봉분식,대전시 서구 둔산동 1459
32,47328,186015,36.3532937,127.3879396,칼국수를만드는사람들,대전시 서구 둔산동 1396
33,47328,36823,36.3481139,127.37815259999998,마마러브파이,대전시 서구 둔산동 1129
34,47328,36639,36.3461044,127.3888768,미세노센세,대전시 서구 탄방동 757
35,54011,16854,36.34996760000001,127.388276,대선칼국수,대전시 서구 둔산동 1440
36,54011,189504,36.34614563,127.38542938,더브리티쉬팬트리,대전시 서구 탄방동 660
37,54011,194221,36.3555776,127.3807823,매드포갈릭,대전시 서구 둔산동 1346
38,54011,37358,36.35575481,127.33713639,제이부페,대전시 유성구 봉명동 469-46
39,54011,218251,36.354486,127.3443323,어선재,대전시 유성구 봉명동 549-1
40,111273,16886,36.4160343,127.3841797,산골묵집,대전시 유성구 관평동 554
41,111273,36658,36.3657745,127.3819936,일등석갈비,대전시 서구 만년동 358
42,111273,37358,36.35575481,127.33713639,제이부페,대전시 유성구 봉명동 469-46
43,111273,219556,36.34093950000001,127.38927920000002,성심당,대전시 서구 괴정동 423-1
44,111273,37616,36.42486191,127.3894577,봉추찜닭,대전시 유성구 관평동 936
45,113840,284411,36.3505544,127.3769908,미즈컨테이너,대전시 서구 둔산동 1050
46,113840,36728,36.3694773,127.3814472,만년애한우,대전시 서구 만년동 306
47,113840,165305,36.36285782,127.34916687,상하이양꼬치,대전시 유성구 궁동 397-8
48,113840,193024,36.3275433,127.4268212,성심당케익부띠끄,대전시 중구 은행동 153
49,113840,188235,36.3518803,127.3757299,모모가든,대전시 서구 둔산동 1081
50,145360,16886,36.4160343,127.3841797,산골묵집,대전시 유성구 관평동 554
51,145360,36658,36.3657745,127.3819936,일등석갈비,대전시 서구 만년동 358
52,145360,37358,36.35575481,127.33713639,제이부페,대전시 유성구 봉명동 469-46
53,145360,219556,36.34093950000001,127.38927920000002,성심당,대전시 서구 괴정동 423-1
54,145360,37616,36.42486191,127.3894577,봉추찜닭,대전시 유성구 관평동 936
55,189795,16886,36.4160343,127.3841797,산골묵집,대전시 유성구 관평동 554
56,189795,37358,36.35575481,127.33713639,제이부페,대전시 유성구 봉명동 469-46
57,189795,36658,36.3657745,127.3819936,일등석갈비,대전시 서구 만년동 358
58,189795,37616,36.42486191,127.3894577,봉추찜닭,대전시 유성구 관평동 936
59,189795,219556,36.34093950000001,127.38927920000002,성심당,대전시 서구 괴정동 423-1
60,240081,16860,36.3654208,127.3799885,스시호산,대전시 서구 만년동 282
